model,repeat,outer_split_seed,number_of_outer_folds,mean_accuracy,sd_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_macro_precision,sd_macro_precision,mean_macro_recall,sd_macro_recall,mean_macro_f1,sd_macro_f1,wilcoxon_macro_f1,fold_1_macro_f1,fold_2_macro_f1,fold_3_macro_f1,fold_4_macro_f1,fold_5_macro_f1
HOG-GLCM + SVM,1,202601,5,0.9128571428571428,0.012154012732846877,0.912857143,0.012154012732846836,0.9135879394954447,0.011539059,0.912857143,0.012154012732846836,0.9128274716962238,0.01194439,0.9128274716962238,0.919741744,0.9092569371455849,0.9011079802609362,0.930009478,0.9040212193221464
HOG-GLCM + SVM,2,202602,5,0.9121428571428571,0.009074697,0.9121428571428571,0.009074697,0.912799269,0.008823403,0.9121428571428571,0.009074697,0.9121570785279761,0.009049744,0.9121570785279761,0.9214467144452858,0.9000828370069696,0.9204637441132537,0.9117687675167534,0.9070233295576183
HOG-GLCM + SVM,3,202603,5,0.91375,0.004446393,0.91375,0.004446393,0.9142638647037286,0.004672687,0.91375,0.004446393,0.9136808996339252,0.00459115,0.9136808996339252,0.9179819600797431,0.9130885302738727,0.9182251376257291,0.9118738206496335,0.90723505
HOG-GLCM + SVM,4,202604,5,0.9155357142857141,0.008601139,0.9155357142857143,0.008601139,0.9158594939987468,0.008782814,0.9155357142857143,0.008601139,0.915430047,0.008766367,0.915430047,0.9197401065963955,0.9127151639600428,0.9081351248516741,0.9285753098644988,0.9079845293417288
HOG-GLCM + SVM,5,202605,5,0.9117857142857144,0.007126096,0.9117857142857144,0.007126096,0.9121400992412863,0.006716433,0.9117857142857144,0.007126096,0.9117472810439331,0.006991679,0.9117472810439331,0.9022053780597497,0.9142301167969763,0.9166774231857259,0.9188012945790085,0.9068221925982047
HOG-GLCM + SVM,6,202606,5,0.9141071428571428,0.012183492931011218,0.9141071428571429,0.012183492931011189,0.9150810656395801,0.012128412187039988,0.9141071428571429,0.012183492931011189,0.9141963681847614,0.012110848431318861,0.9141963681847614,0.9097233605866655,0.9074333030135229,0.9247562056057423,0.900230554,0.9288384177998719
HOG-GLCM + SVM,7,202607,5,0.9135714285714285,0.009849797,0.9135714285714286,0.009849797,0.9141001102892629,0.009499939,0.9135714285714286,0.009849797,0.9133894725350393,0.00979843,0.9133894725350393,0.9230393896373372,0.8988050497281928,0.9083267845306117,0.9172461670328262,0.9195299717462284
HOG-GLCM + SVM,8,202608,5,0.9148214285714286,0.005737953,0.9148214285714286,0.005737953,0.9156918045731054,0.005844454,0.9148214285714286,0.005737953,0.9148085385952271,0.005953365,0.9148085385952271,0.9232826477918469,0.9170348088761909,0.9113175383971057,0.9075412838846246,0.9148664140263678
HOG-GLCM + SVM,9,202609,5,0.9133928571428571,0.009491202,0.9133928571428571,0.009491202,0.9142203581296009,0.009554304,0.9133928571428571,0.009491202,0.9133858407726784,0.009603951,0.9133858407726784,0.8978646011905775,0.9110201568396513,0.9208589419947002,0.9161060798941467,0.9210794239443172
HOG-GLCM + SVM,10,202610,5,0.9151785714285714,0.007783748,0.9151785714285714,0.007783748,0.9158394683540511,0.008386456,0.9151785714285714,0.007783748,0.9152064953557444,0.008000325,0.9152064953557444,0.9032290227867527,0.9158810852423735,0.9185082506499613,0.913325084,0.9250890341615525
